metal,hs_code,description
gold,284330,Gold compounds
gold,710811,"Metals: gold, non-monetary, powder"
gold,710812,"Metals: gold, non-monetary, unwrought (but not powder)"
gold,710813,"Metals: gold, semi-manufactured"
gold,710820,"Gold, monetary"
gold,710900,"Base metals or silver: clad with gold, not further worked than semi-manufactured"
gold,711100,"Base metals, silver or gold, clad with platinum: not further worked than semi-manufactured"
gold,711810,"Coin (other than gold coin), not being legal tender"
gold,911120,"Watch cases: of base metal, whether or not gold-plated or silver-plated"
gold,911320,"Watch straps, watch bands, watch bracelets, and parts thereof: of base metal, whether or not gold- or silver-plated"
gold,261690,Gold sourced for recovery
